pin,address,class,class_desc,board_bldg,char_bldg_sf,bldg_per_sqft,group,char_yrblt,lat,lon
16182200160000,525 JACKSON BLVD,204,"One-story Residence, any age, 1,801 sq ft and over",45180,2250,20.08,Nearby,1951,41.87605057,-87.7883344
16182050170000,528 S SCOVILLE AVE,204,"One-story Residence, any age, 1,801 sq ft and over",44590,2184,20.42,Nearby,1914,41.87873205,-87.78779038
16171100190000,601 S HARVEY AVE,204,"One-story Residence, any age, 1,801 sq ft and over",44238,2488,17.78,Nearby,1918,41.87799746,-87.7810469
16171090030000,604 S CUYLER AVE,204,"One-story Residence, any age, 1,801 sq ft and over",35180,1862,18.89,Nearby,1918,41.87782385,-87.78290164
16171100220000,611 S HARVEY AVE,204,"One-story Residence, any age, 1,801 sq ft and over",40429,2644,15.29,Nearby,1920,41.87765441,-87.78100137
16182120120000,634 S EAST AVE,204,"One-story Residence, any age, 1,801 sq ft and over",33878,1947,17.4,Nearby,1894,41.87679084,-87.78896012
16171090360000,637 S HIGHLAND AVE,204,"One-story Residence, any age, 1,801 sq ft and over",36590,1919,19.07,Nearby,1914,41.87674009,-87.7821656
16182140260000,639 S ELMWOOD AVE,204,"One-story Residence, any age, 1,801 sq ft and over",46872,2255,20.79,Gunderson,1915,41.87662786,-87.78585149
16182140270000,641 S ELMWOOD AVE,204,"One-story Residence, any age, 1,801 sq ft and over",53761,2672,20.12,Gunderson,1916,41.87648489,-87.78583592
16171160410000,727 S CUYLER AVE,204,"One-story Residence, any age, 1,801 sq ft and over",41085,2019,20.35,Nearby,1913,41.87530238,-87.78339885
16171160130000,728 S RIDGELAND AVE,204,"One-story Residence, any age, 1,801 sq ft and over",42179,2233,18.89,Nearby,1913,41.87518229,-87.78400966
16182200130000,740 S EAST AVE,204,"One-story Residence, any age, 1,801 sq ft and over",38102,2031,18.76,Nearby,1913,41.8747017,-87.78886966
16171160170000,740 S RIDGELAND AVE,204,"One-story Residence, any age, 1,801 sq ft and over",36978,1932,19.14,Nearby,1923,41.87480408,-87.7840129
