pin,address,class,class_desc,board_bldg,char_bldg_sf,bldg_per_sqft,group,char_yrblt,lat,lon
16083020080000,122 S HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",32960,1536,21.46,Ridgeland,1908,41.88612392,-87.78104077
16083000140000,122 S RIDGELAND AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",38657,1872,20.65,Ridgeland,1901,41.88593877,-87.78430914
16083000210000,123 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",38511,1944,19.81,Ridgeland,1913,41.88620147,-87.78340085
16074040340000,123 S ELMWOOD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40554,1856,21.85,Ridgeland,1886,41.88601675,-87.7865798
16083030220000,123 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",38724,2042,18.96,Ridgeland,1903,41.88612383,-87.77846051
16081210270000,124 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",34585,1552,22.28,Ridgeland,1913,41.88841672,-87.7795247
16073060080000,124 S GROVE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39765,1899,20.94,Ridgeland,1908,41.8858883,-87.79541625
16081190360000,125 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",29593,1440,20.55,Ridgeland,1894,41.88842841,-87.78171996
16081210490000,125 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",34367,1674,20.53,Ridgeland,1901,41.88847119,-87.77852249
16083000220000,125 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",34718,1797,19.32,Ridgeland,1915,41.88610902,-87.78340278
16074050240000,125 S RIDGELAND AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",32680,1634,20,Ridgeland,1900,41.88576196,-87.7849851
16074010220000,125 WESLEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",35452,1597,22.2,Ridgeland,1911,41.88588577,-87.79152409
16083030120000,126 PLEASANT ST,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",38535,2016,19.11,Ridgeland,1903,41.88553162,-87.77934913
16083010070000,126 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40572,1628,24.92,Ridgeland,1914,41.88603401,-87.78261299
16074030090000,126 S EAST AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",31110,2068,15.04,Ridgeland,1925,41.88585674,-87.7891018
16083020090000,126 S HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",37960,1989,19.08,Ridgeland,1904,41.88599565,-87.78104188
16083040090000,126 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39368,2163,18.2,Ridgeland,1907,41.88602761,-87.77775487
16081210480000,127 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",37630,1706,22.06,Ridgeland,1910,41.88857132,-87.77855368
16083030230000,127 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39389,1454,27.09,Ridgeland,1898,41.88602532,-87.77845257
16083030110000,128 PLEASANT ST,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",34475,1544,22.33,Ridgeland,1907,41.88551587,-87.77948553
16083010080000,128 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",43572,1700,25.63,Ridgeland,1914,41.88593065,-87.78261387
16083020170000,129 S LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",30776,1458,21.11,Ridgeland,1916,41.88591714,-87.78003548
16074030160000,129 S SCOVILLE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",49835,1832,27.2,Ridgeland,1894,41.88593345,-87.78828959
16074010230000,129 WESLEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39462,1981,19.92,Ridgeland,1918,41.88577448,-87.79152503
16083020100000,130 S HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",48549,2134,22.75,Ridgeland,1900,41.88586016,-87.78101906
16083000160000,130 S RIDGELAND AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",36845,1824,20.2,Ridgeland,1901,41.88567165,-87.78429344
16083040100000,130 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39368,2043,19.27,Ridgeland,1908,41.88591273,-87.77775586
16081210470000,131 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",35812,1754,20.42,Ridgeland,1907,41.88865851,-87.77857115
16083000240000,131 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40960,2162,18.95,Ridgeland,1903,41.88584552,-87.7834099
16074020250000,131 S EAST AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",54975,2162,25.43,Ridgeland,1903,41.8857119,-87.78989916
16083040220000,131 S HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",35059,1333,26.3,Ridgeland,1915,41.8859189,-87.77683562
16083030240000,131 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40605,1656,24.52,Ridgeland,1903,41.88590392,-87.77846242
16083010090000,132 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",31116,1452,21.43,Ridgeland,1899,41.88583808,-87.78260987
16073060100000,132 S GROVE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40867,1888,21.65,Ridgeland,1908,41.88565702,-87.79544817
16073050200000,133 S GROVE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",45048,2031,22.18,Ridgeland,1888,41.88561299,-87.79607463
16083020180000,133 S LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",45000,2152,20.91,Ridgeland,1917,41.8858316,-87.78003622
16074030180000,133 S SCOVILLE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",47473,1780,26.67,Ridgeland,1900,41.88571142,-87.78826255
16081210130000,134 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40204,1671,24.06,Ridgeland,1898,41.88881779,-87.77942638
16083010100000,134 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",41572,1452,28.63,Ridgeland,1910,41.88573112,-87.78261079
16074050150000,134 S ELMWOOD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",48750,2184,22.32,Ridgeland,1908,41.88563592,-87.78593464
16074040140000,134 S SCOVILLE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",44750,1896,23.6,Ridgeland,1868,41.88559348,-87.78750463
16083040110000,134 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",82368,840,98.06,Ridgeland,2023,41.88581412,-87.77772595
16081200240000,135 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",30708,1280,23.99,Ridgeland,1913,41.8888517,-87.78024989
16081210240000,135 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",45821,2198,20.85,Ridgeland,1888,41.88882761,-87.77864259
16074030190000,135 S SCOVILLE AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",50612,1858,27.24,Ridgeland,1902,41.88559049,-87.78823883
16083030250000,135 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",42454,1680,25.27,Ridgeland,1909,41.88580211,-87.77845011
16083050140000,136 S HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",41960,2176,19.28,Ridgeland,1903,41.88568432,-87.77609646
16081220240000,137 N HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",47382,1965,24.11,Ridgeland,1913,41.88886335,-87.77694434
16083030260000,137 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",32868,1979,16.61,Ridgeland,1903,41.88569042,-87.7784335
16081210120000,138 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39424,1660,23.75,Ridgeland,1898,41.8889213,-87.77944371
16081200230000,139 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39142,1828,21.41,Ridgeland,1913,41.88895233,-87.78023444
16081210230000,139 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40424,1680,24.06,Ridgeland,1881,41.88893643,-87.77863071
16081190380000,140 N CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",42674,1996,21.38,Ridgeland,1942,41.88890454,-87.78275001
16081210110000,140 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",39253,1948,20.15,Ridgeland,1925,41.88903021,-87.77945006
16083010120000,140 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",35454,1587,22.34,Ridgeland,1914,41.88554853,-87.7826231
16083030270000,141 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40368,1728,23.36,Ridgeland,1903,41.88558211,-87.77843443
16081200100000,142 N HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",38308,1904,20.12,Ridgeland,1903,41.8890516,-87.78106468
16083040140000,142 S TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",41349,2052,20.15,Ridgeland,1903,41.88547921,-87.77770687
16081220220000,143 N HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",44738,2028,22.06,Ridgeland,1880,41.88910851,-87.77698231
16081200220000,143 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40950,1631,25.11,Ridgeland,1913,41.88906126,-87.78024444
16083000270000,143 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",36396,1614,22.55,Ridgeland,1916,41.88545883,-87.78339386
16083010210000,143 S HARVEY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",42572,2112,20.16,Ridgeland,1898,41.88539096,-87.78176619
16081210100000,144 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40518,1948,20.8,Ridgeland,1920,41.88913364,-87.77944917
16083000280000,145 S CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",42174,1960,21.52,Ridgeland,1924,41.88536923,-87.78341998
16081210090000,146 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40967,1948,21.03,Ridgeland,1927,41.88923981,-87.7794519
16081180090000,146 N RIDGELAND AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",41845,2080,20.12,Ridgeland,1903,41.88911473,-87.78433442
16081220090000,146 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",38076,1726,22.06,Ridgeland,1900,41.88922149,-87.77783066
16081220210000,147 N HUMPHREY AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",40547,1918,21.14,Ridgeland,1888,41.88924191,-87.77698844
16081210520000,147 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",38531,1544,24.96,Ridgeland,1885,41.88921136,-87.77863198
16081200200000,149 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",32787,1559,21.03,Ridgeland,1915,41.88925723,-87.78024275
16081190090000,150 N CUYLER AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",45636,2130,21.43,Ridgeland,1888,41.88932356,-87.78271725
16081210080000,150 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",38023,1808,21.03,Ridgeland,1925,41.88933513,-87.77946201
16081200190000,151 N LOMBARD AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",34964,1650,21.19,Ridgeland,1914,41.88936347,-87.78026006
16081220070000,154 N TAYLOR AVE,205,"Two-or-more story residence, over 62 years of age, up to 2,200 sq ft",46545,1965,23.69,Ridgeland,1904,41.88949361,-87.77781372
